id,Name,titleProject_id,class,score,login,password0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,dvt2qpsy
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,6eiebdi5
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,nb8fxqDB
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,LhWsgxle
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,Bup7qw2b
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,9qr586Ru
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,cDrP8T0E
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,1Cx8LCen
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,0OR4jwPK
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,5k0F3JSg
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,70kJHgBb
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,30cXTFnZ
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,gfw49esU
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,2qiSnvAm
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,jV47hHQr
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,MM3Mv2h8
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,F2cVLcWh
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,cMhfCE6u
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,T6sYey3k
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,ds9KHIDl
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,qjDLb7Cg
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,igIX2VcK
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,ozydwv0v
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,0HpcnLsa
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,rDeuZzhz
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,omSkllWY
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,yDaTvScG
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,TpqVJ5UP
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,slMiw4yO
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,wPhu1wC5
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,H1FBeM2U
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,EzsKgxmZ
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,J3VlXq1F
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,KYTdODAy
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,XIrEbRTs
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,povcBUdi
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,PW1xkfTG
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,kOJQ7mmc
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,GbxrUN00
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,K16XKXHR
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,1naLWrYH
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,KZt8ZMkV
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,XJqs1iO3
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,nf2KRw5g
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,PwYpGYuS
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,u0pCmJob
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,roh5IJne
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,JNfuV5Qk
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,5aTZ7r3E
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,jPw6hXqO
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,d9Zi8WMy
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,GRALM6gy
